evento,serie,serie_id,rho,p,q,n,media_en_ventana,media_fuera
Elecciones generales 10-N,topic,31,-0.065832,0.556787,0.793969,82,0.000704,0.008048
Investidura de 2020,topic,31,-0.094048,0.400667,0.689018,82,0.000563,0.008153
COVID-19: estado de alarma,topic,31,-0.067299,0.548012,0.788246,82,0.000955,0.008318
Guerra de Ucrania,topic,31,0.061557,0.582741,0.809886,82,0.006048,0.007819
Elecciones generales 20-D,topic,32,-0.150657,0.176684,0.611809,82,0.0,0.008976
Elecciones generales 26-J,topic,32,-0.169529,0.127851,0.611809,82,0.0,0.009093
Moción de censura,topic,32,0.232462,0.035589,0.611809,82,0.018993,0.007713
Elecciones generales 28-A,topic,32,0.101403,0.364677,0.677667,82,0.011087,0.008408
Elecciones generales 10-N,topic,32,-0.150657,0.176684,0.611809,82,0.0,0.008976
Investidura de 2020,topic,32,-0.169529,0.127851,0.611809,82,0.0,0.009093
COVID-19: estado de alarma,topic,32,-0.203247,0.067043,0.611809,82,0.0,0.009335
Guerra de Ucrania,topic,32,0.080283,0.473379,0.744783,82,0.006451,0.008703
Elecciones generales 20-D,topic,33,0.111974,0.316558,0.646604,82,0.017377,0.010468
Elecciones generales 26-J,topic,33,-0.182702,0.100404,0.611809,82,0.0,0.011507
Moción de censura,topic,33,0.141248,0.205593,0.611809,82,0.007515,0.011065
Elecciones generales 28-A,topic,33,-0.011197,0.920469,0.974464,82,0.022727,0.010193
Elecciones generales 10-N,topic,33,-0.039191,0.726657,0.897859,82,0.00493,0.011106
Investidura de 2020,topic,33,-0.071821,0.521387,0.778781,82,0.003944,0.01125
COVID-19: estado de alarma,topic,33,-0.124086,0.266699,0.615336,82,0.002817,0.01155
Guerra de Ucrania,topic,33,0.060204,0.591068,0.812544,82,0.008504,0.010987
Elecciones generales 20-D,topic,34,0.019015,0.865355,0.961053,82,0.003049,0.006391
Elecciones generales 26-J,topic,34,-0.124493,0.265123,0.615336,82,0.0,0.006633
Moción de censura,topic,34,0.102952,0.357361,0.669343,82,0.011048,0.005848
Elecciones generales 28-A,topic,34,-0.110634,0.322423,0.646604,82,0.0,0.006548
Elecciones generales 10-N,topic,34,0.214352,0.053139,0.611809,82,0.030751,0.004971
Investidura de 2020,topic,34,0.13383,0.230654,0.615336,82,0.012022,0.005852
COVID-19: estado de alarma,topic,34,0.071961,0.520571,0.778781,82,0.008587,0.006008
Guerra de Ucrania,topic,34,-0.137269,0.218782,0.611809,82,0.0,0.00672
